Unnamed: 0,date,state,cases,deaths,cases_diff,death_diff
218,2020-4,West Virginia,1152,47.0,961,45.0
219,2020-4,Wyoming,566,7.0,428,7.0
220,2020-5,Arizona,20123,918.0,12161,588.0
221,2020-5,California,115643,4287.0,63325,2140.0
222,2020-5,Illinois,121666,5458.0,65611,2994.0
223,2020-5,Massachusetts,100805,7035.0,36494,3319.0
224,2020-5,Washington,23272,1133.0,8138,304.0
225,2020-5,Florida,56822,2459.0,22102,1146.0
226,2020-5,Nebraska,14345,183.0,9507,111.0
227,2020-5,New York,376520,29766.0,62945,5925.0
228,2020-5,Oregon,4303,154.0,1724,50.0
229,2020-5,Rhode Island,14991,720.0,6029,441.0
230,2020-5,Texas,66081,1695.0,35739,842.0
231,2020-5,Utah,10026,113.0,5197,67.0
232,2020-5,Wisconsin,18825,597.0,11386,270.0
233,2020-5,Alabama,18534,646.0,11240,357.0
234,2020-5,Alaska,476,8.0,114,1.0
235,2020-5,Arkansas,7443,133.0,4133,69.0
236,2020-5,Colorado,26563,1458.0,10902,640.0
237,2020-5,Connecticut,42740,3964.0,13976,1625.0
238,2020-5,Delaware,9605,368.0,4687,209.0
239,2020-5,District of Columbia,8857,468.0,4199,237.0
240,2020-5,Georgia,45757,2057.0,19321,904.0
241,2020-5,Guam,1144,6.0,29,0.0
242,2020-5,Hawaii,642,17.0,32,1.0
243,2020-5,Idaho,2908,83.0,873,20.0
244,2020-5,Indiana,35684,2142.0,16743,967.0
245,2020-5,Iowa,19789,558.0,11906,388.0
246,2020-5,Kansas,10103,217.0,5593,81.0
247,2020-5,Kentucky,10150,445.0,5271,197.0
248,2020-5,Louisiana,40452,2801.0,11698,831.0
249,2020-5,Maine,2349,89.0,1226,34.0
250,2020-5,Maryland,54035,2552.0,30469,1360.0
251,2020-5,Michigan,58435,5525.0,16087,1659.0
252,2020-5,Minnesota,25218,1060.0,19488,689.0
253,2020-5,Mississippi,15752,739.0,8540,458.0
254,2020-5,Missouri,13523,786.0,5683,431.0
255,2020-5,Montana,519,17.0,67,1.0
256,2020-5,Nevada,8701,420.0,3452,166.0
257,2020-5,New Hampshire,4685,245.0,2375,164.0
258,2020-5,New Jersey,160918,11721.0,39728,4183.0
259,2020-5,New Mexico,7800,362.0,4287,231.0
260,2020-5,North Carolina,29368,923.0,18446,518.0
261,2020-5,North Dakota,2628,64.0,1521,41.0
262,2020-5,Northern Mariana Islands,22,2.0,8,0.0
263,2020-5,Ohio,35984,2206.0,17241,1204.0
264,2020-5,Oklahoma,6573,334.0,2825,104.0
265,2020-5,Pennsylvania,76734,5574.0,26970,2903.0
266,2020-5,Puerto Rico,3873,,2300,
